자치구,평균 이동시간,평균 이동인구,총 이동시간,총 이동인구
강남구,23.094564552376685,90.25348446942635,11437560,44697947.929998934
강동구,25.67008394508402,64.29584120159423,8430800,21116618.82999839
강북구,23.81127435721845,39.17334495423488,7649610,12584828.799997497
강서구,25.124068017962564,58.48709826422144,9388010,21854640.05999857
관악구,23.37792784749742,49.94390962414913,8772170,18740603.03999835
광진구,22.474283212956884,46.7994885043065,8625540,17961456.489998817
구로구,22.933747752583628,41.77950976741839,7946750,14476976.14999838
금천구,23.998943774873158,30.64787430919988,6362000,8124598.239997342
노원구,24.02951468371579,55.22496119236325,8975240,20627020.029998407
도봉구,24.48997595068315,37.92962249222722,6995880,10835089.749997104
동대문구,21.673451271009796,39.97877141441291,8838130,16302783.279997785
동작구,21.867593172911135,41.030394380622226,8408680,15777294.459997522
마포구,22.044200819101217,54.91622275466721,9494790,23653295.79999924
서대문구,22.02681605528697,42.45490991928162,8465390,16316355.88999815
서초구,22.831643236024252,64.16965474095751,10291660,28925306.079998232
성동구,21.740323787996655,42.7201969979357,8887140,17463418.449998144
성북구,22.16028334147533,45.85307852955105,9072420,18772250.3499982
송파구,25.429707440880627,83.5270547083388,10610520,34851580.049999654
양천구,22.793733842746878,46.58766554137844,7379950,15083735.059997639
영등포구,21.615226871267787,56.44496817959386,9581360,25020304.60000039
용산구,21.36478606056348,36.939485125106586,8514380,14721271.369997978
은평구,24.61157830591103,50.30679405849102,8077520,16510689.809996754
종로구,21.34959861626437,44.26820283227717,9356120,19399831.600000154
중구,21.012461586746777,44.54765751974238,9306020,19729311.110001024
중랑구,23.412788520234386,41.05685943125184,7939300,13922422.089996928
